"id","artist","title","price","label","labelnum","pic","created_at","updated_at"
1,"AFRICAN MUSIC MACHINE","BLACK WATER GOLD",7,"SOULP","3317",,,
2,"AMON DUUL II","MADE IN GERMANY",10.5,"ATCO","36119",,,
3,"AMON DUUL II","MADE IN GERMANY (COLOR)",11,"ATCO","36119C",,,
4,"AMON DUUL II","MADE IN GERMANY (180 GRAM)",11.5,"ATCO","36119H",,,
5,"AMON DUUL II","HIJACK",10.5,"ATCO","36108",,,
6,"AMON DUUL II","HIJACK (COLOR)",11,"ATCO","36108C",,,
7,"AMON DUUL II","HIJACK (180 GRAM)",11.5,"ATCO","36108H",,,
8,"ARCHIE BELL & THE DRELLS","TIGHTEN UP",9,"ATL","8181",,,
9,"ARETHA FRANKLIN","ARETHA (JUMPIN' JACK FLASH)",6,"ARI","8442",,,
10,"ASHA PUTHLI","ASHA PUTHLI",7,"CBS","65804",,,
11,"ASHA PUTHLI","ASHA PUTHLI (180 GRAM)",7.5,"CBS","65804H",,,
12,"ASHA PUTHLI","SHE LOVES TO HEAR MUSIC",7,"CBS","80978",,,
13,"BABY HUEY","THE LIVING LEGEND - THE BABY HUEY STORY",10.5,"CRTM","8007",,,
14,"BABY HUEY","THE LIVING LEGEND - THE BABY HUEY STORY (COLOR)",11.5,"CRTM","8007C",,,
15,"BABY HUEY","THE LIVING LEGEND - THE BABY HUEY STORY (180 GRAM)",12.5,"CRTM","8007H",,,
16,"BABY HUEY","THE LIVING LEGEND - THE BABY HUEY STORY (180 GRAM COLOR)",13.5,"CRTM","8007HC",,,
17,"BIG BILL BROONZY","DO THAT GUITAR RAG 1928 - 1935 (180 GRAM)",10,"YAZ","1035",,,
18,"BIG BILL BROONZY","THE YOUNG BIG BILL BROONZY (180 GRAM)",10,"YAZ","1011",,,
19,"BJORK (DBL HEAVY VINYL / CD / DVD)","DECLARE INDEPENDENCE (4 MIXES)",4,"OLIND","1972",,,
20,"BJORK (DBL HEAVY VINYL / CD / DVD)","EARTH INTRUDERS (4 MIXES)",4,"OLIND","1973",,,
21,"BJORK (DBL HEAVY VINYL / CD / DVD)","INNOCENCE (4 MIXES)",4,"OLIND","4004",,,
22,"BIG BILL BROONZY","THE YOUNG BIG BILL BROONZY (180 GRAM)",10,"YAZ","1011",,,
23,"BLIND BOY FULLER (CRUMB COVER)","TRUCKIN' MY BLUES AWAY (180 GRAM)",10,"YAZ","1060",,,
24,"BLIND FAITH","ERIC CLAPTON/GINGER BAKER",10.9,"POLY","75316",,,
25,"BLIND WILLIE MCTELL","ATLANTA TWELVE STRING",10.5,"ATL","7224",,,
26,"BLIND WILLIE MCTELL","ATLANTA TWELVE STRING (COLOR)",11.5,"ATL","7224C",,,
27,"BLIND WILLIE MCTELL","ATLANTA TWELVE STRING (180 GRAM)",12.5,"ATL","7224H",,,
28,"BLIND WILLIE MCTELL","BLIND WILLIE MCTELL 1927 - 1935 (180 GRAM)",10,"YAZ","1037",,,
29,"BLIND WILLIE MCTELL","PRAISE GOD I'M SATISFIED (180 GRAM)",10,"YAZ","1058",,,
30,"BLIND WILLIE MCTELL","SWEETER AS THE YEARS GO BY (180 GRAM)",10,"YAZ","1078",,,
31,"BLIND WILLIE MCTELL","THE EARLY YEARS 1927 - 1933 (180 GRAM)",10,"YAZ","1005",,,
32,"BLOWFLY","AT THE MOVIES",6.5,"WWLD","2024",,,
33,"BLOWFLY","BLOWFLY'S DISCO",6.5,"WWLD","2028",,,
34,"BLOWFLY","BLOWFLY'S DISCO (180 GRAM)",7.5,"WWLD","2028H",,,
35,"BLOWFLY","BLOWFLY'S DISCO PARTY",7,"WWLD","2032",,,
36,"BLOWFLY","BLOWFLY'S PARTY X-RATED",7,"WWLD","2034",,,
37,"BLOWFLY","BLOWFLY'S ZODIAC PARTY",6.5,"WWLD","2031",,,
38,"BLOWFLY","BUTTERFLY",6.5,"WWLD","2025",,,
39,"BLOWFLY","OLDIES BUT GOODIES",7,"WWLD","2026",,,
40,"BLOWFLY","ON TOUR",6.5,"WWLD","2021",,,
41,"BLOWFLY","ON T.V.",6.5,"WWLD","2021",,,
42,"BLOWFLY","PORNO FREAK",6.5,"WWLD","2036",,,
43,"BLOWFLY","RAPPIN', DANCIN' AND LAUGHIN'",7,"WWLD","2035",,,
44,"BLOWFLY","THE WEIRD WORLD OF",7,"WWLD","2020",,,
45,"BLOWFLY","ZODIAC",6.5,"WWLD","2023",,,
46,"BO CARTER (CRUMB COVER)","BANANA IN YOUR FRUIT BASKET - RED HOT BLUES 1931-1936",10,"YAZ","1064",,,
47,"BOB MARLEY & THE WAILERS","BABYLON BY BUS (2 LP'S 180 GRAM)",15.9,"TUFF","4727623H",,,
48,"BOB MARLEY & THE WAILERS","BURNIN' (180 GRAM)",11.9,"TUFF","5360067H",,,
49,"BOB MARLEY & THE WAILERS","KAYA (180 GRAM)",12.5,"TUFF","4727626H",,,
50,"BOB MARLEY & THE WAILERS (180 GRAM)","LEE SCRATCH PERRY MASTERS",7,"GOLDE","3397",,,
51,"BOB MARLEY & THE WAILERS (180 GRAM)","LEE SCRATCH PERRY MASTERS (COLORED VINYL)",7.5,"GOLDE","3397C",,,
52,"BOB MARLEY & THE WAILERS (180 GRAM)","LEE SCRATCH PERRY MASTERS (180 GRAM VINYL)",8,"GOLDE","3397H",,,
53,"BOB MARLEY & THE WAILERS","LIVE! (3 LP'S 180 GRAM)",30.2,"TUFF","10943",,,
54,"BOB MARLEY & THE WAILERS","NATTY DREAD (180 GRAM)",11.9,"TUFF","530066",,,
55,"BOB MARLEY & THE WAILERS","SURVIVAL (180 GRAM)",10.9,"TUFF","27627H",,,
56,"BOB MARLEY & THE WAILERS","THE BIRTH OF A LEGEND (2 LP'S)",10,"CALLA","1240",,,
57,"BOB MARLEY & THE WAILERS","THE BIRTH OF A LEGEND (COLORED VINYL - 2 LP'S)",11,"CALLA","1240C",,,
58,"BOB MARLEY & THE WAILERS","THE BIRTH OF A LEGEND (180 GRAM - 2 LP'S)",12,"CALLA","1240H",,,
59,"BOB MARLEY & THE WAILERS","THE COMPLETE ISLAND RECORDINGS (180 GRAM)",125,"TUFF","60251",,,
60,"BOB MARLEY & THE WAILERS (180 GRAM)","RASTAMAN VIBRATION",12.5,"TUFF","27620",,,
61,"BOB MARLEY & THE WAILERS","UPRISING (180 GRAM)",13.9,"TUFF","27628H",,,
62,"BOHANNON","STOP & GO",7,"DAKAR","76903",,,
63,"BOHANNON","STOP & GO (180 GRAM)",7.5,"DAKAR","76903H",,,
64,"BOSTON","THIRD STAGE (AMANDA)",8,"MCA","6188",,,
65,"CAN","OUT OF REACH ",8,"CLEOP","3043",,,
66,"CAN","OUT OF REACH (180 GRAM)",8.5,"CLEOP","3043H",,,
67,"CAN","CAN (180 GRAM)",8,"CLEOP","3016",,,
68,"CAROLE KING","HER GREATEST HITS (180 GRAM VINYL)",10.5,"ODE","736419",,,
69,"CARS","GREATEST HITS",10,"ELEKT","60464",,,
70,"CASEY BILL WELDON / KOKOMO ARNOLD (CRUMB)","BOTTLENECK GUITAR TREND SETTERS OF THE 1930'S (180",10,"YAZ","1049",,,
71,"CHAMPION JACK DUPREE","BLUES FROM THE GUTTER",10.5,"ATL","8019",,,
72,"CHAMPION JACK DUPREE","BLUES FROM THE GUTTER (COLOR)",11.5,"ATL","8019C",,,
73,"CHAMPION JACK DUPREE","BLUES FROM THE GUTTER (180 GRAM)",12.5,"ATL","8019H",,,
74,"CHARLES MINGUS","MINGUS AH UM (180 GRAM VINYL)",13,"COLUM","8171",,,
75,"CHARLEY PATTON","FOUNDER OF THE DELTA BLUES (180 GRAM - 2 LP'S)",15,"YAZ","1020",,,
76,"CRASH CREW","CRASH CREW",7,"SUH","9123",,,
77,"CREAM (MONO)","DISRAELI GEARS (180 GRAM)",15.5,"REACT","140",,,
