id,artist,title,price,label,labelnum,quantity,pic,created_at,updated_at
1,AFRICAN MUSIC MACHINE,BLACK WATER GOLD,7,SOULP,3317,1,,,
2,AMON DUUL II,MADE IN GERMANY,10.5,ATCO,36119,1,,,
3,AMON DUUL II,MADE IN GERMANY (COLOR),11,ATCO,36119C,1,,,
4,AMON DUUL II,MADE IN GERMANY (180 GRAM),11.5,ATCO,36119H,1,,,
5,AMON DUUL II,HIJACK,10.5,ATCO,36108,1,,,
6,AMON DUUL II,HIJACK (COLOR),11,ATCO,36108C,1,,,
7,AMON DUUL II,HIJACK (180 GRAM),11.5,ATCO,36108H,1,,,
8,ARCHIE BELL & THE DRELLS,TIGHTEN UP,9,ATL,8181,1,,,
9,ARETHA FRANKLIN,ARETHA (JUMPIN' JACK FLASH),6,ARI,8442,1,,,
10,ASHA PUTHLI,ASHA PUTHLI,7,CBS,65804,1,,,
11,ASHA PUTHLI,ASHA PUTHLI (180 GRAM),7.5,CBS,65804H,1,,,
12,ASHA PUTHLI,SHE LOVES TO HEAR MUSIC,7,CBS,80978,1,,,
13,BABY HUEY,THE LIVING LEGEND - THE BABY HUEY STORY,10.5,CRTM,8007,1,,,
14,BABY HUEY,THE LIVING LEGEND - THE BABY HUEY STORY (COLOR),11.5,CRTM,8007C,1,,,
15,BABY HUEY,THE LIVING LEGEND - THE BABY HUEY STORY (180 GRAM),12.5,CRTM,8007H,1,,,
16,BABY HUEY,THE LIVING LEGEND - THE BABY HUEY STORY (180 GRAM COLOR),13.5,CRTM,8007HC,1,,,
17,BIG BILL BROONZY,DO THAT GUITAR RAG 1928 - 1935 (180 GRAM),10,YAZ,1035,1,,,
18,BIG BILL BROONZY,THE YOUNG BIG BILL BROONZY (180 GRAM),10,YAZ,1011,1,,,
19,BJORK (DBL HEAVY VINYL / CD / DVD),DECLARE INDEPENDENCE (4 MIXES),4,OLIND,1972,1,,,
20,BJORK (DBL HEAVY VINYL / CD / DVD),EARTH INTRUDERS (4 MIXES),4,OLIND,1973,1,,,
21,BJORK (DBL HEAVY VINYL / CD / DVD),INNOCENCE (4 MIXES),4,OLIND,4004,1,,,
22,BIG BILL BROONZY,THE YOUNG BIG BILL BROONZY (180 GRAM),10,YAZ,1011,1,,,
23,BLIND BOY FULLER (CRUMB COVER),TRUCKIN' MY BLUES AWAY (180 GRAM),10,YAZ,1060,1,,,
24,BLIND FAITH,ERIC CLAPTON/GINGER BAKER,10.9,POLY,75316,1,,,
25,BLIND WILLIE MCTELL,ATLANTA TWELVE STRING,10.5,ATL,7224,1,,,
26,BLIND WILLIE MCTELL,ATLANTA TWELVE STRING (COLOR),11.5,ATL,7224C,1,,,
27,BLIND WILLIE MCTELL,ATLANTA TWELVE STRING (180 GRAM),12.5,ATL,7224H,1,,,
28,BLIND WILLIE MCTELL,BLIND WILLIE MCTELL 1927 - 1935 (180 GRAM),10,YAZ,1037,1,,,
29,BLIND WILLIE MCTELL,PRAISE GOD I'M SATISFIED (180 GRAM),10,YAZ,1058,1,,,
30,BLIND WILLIE MCTELL,SWEETER AS THE YEARS GO BY (180 GRAM),10,YAZ,1078,1,,,
31,BLIND WILLIE MCTELL,THE EARLY YEARS 1927 - 1933 (180 GRAM),10,YAZ,1005,1,,,
32,BLOWFLY,AT THE MOVIES,6.5,WWLD,2024,1,,,
33,BLOWFLY,BLOWFLY'S DISCO,6.5,WWLD,2028,1,,,
34,BLOWFLY,BLOWFLY'S DISCO (180 GRAM),7.5,WWLD,2028H,1,,,
35,BLOWFLY,BLOWFLY'S DISCO PARTY,7,WWLD,2032,1,,,
36,BLOWFLY,BLOWFLY'S PARTY X-RATED,7,WWLD,2034,1,,,
37,BLOWFLY,BLOWFLY'S ZODIAC PARTY,6.5,WWLD,2031,1,,,
38,BLOWFLY,BUTTERFLY,6.5,WWLD,2025,1,,,
39,BLOWFLY,OLDIES BUT GOODIES,7,WWLD,2026,1,,,
40,BLOWFLY,ON TOUR,6.5,WWLD,2021,1,,,
41,BLOWFLY,ON T.V.,6.5,WWLD,2021,1,,,
42,BLOWFLY,PORNO FREAK,6.5,WWLD,2036,1,,,
43,BLOWFLY,"RAPPIN', DANCIN' AND LAUGHIN'",7,WWLD,2035,1,,,
44,BLOWFLY,THE WEIRD WORLD OF,7,WWLD,2020,1,,,
45,BLOWFLY,ZODIAC,6.5,WWLD,2023,1,,,
46,BO CARTER (CRUMB COVER),BANANA IN YOUR FRUIT BASKET - RED HOT BLUES 1931-1936,10,YAZ,1064,1,,,
47,BOB MARLEY & THE WAILERS,BABYLON BY BUS (2 LP'S 180 GRAM),15.9,TUFF,4727623H,1,,,
48,BOB MARLEY & THE WAILERS,BURNIN' (180 GRAM),11.9,TUFF,5360067H,1,,,
49,BOB MARLEY & THE WAILERS,KAYA (180 GRAM),12.5,TUFF,4727626H,1,,,
50,BOB MARLEY & THE WAILERS (180 GRAM),LEE SCRATCH PERRY MASTERS,7,GOLDE,3397,1,,,
51,BOB MARLEY & THE WAILERS (180 GRAM),LEE SCRATCH PERRY MASTERS (COLORED VINYL),7.5,GOLDE,3397C,1,,,
52,BOB MARLEY & THE WAILERS (180 GRAM),LEE SCRATCH PERRY MASTERS (180 GRAM VINYL),8,GOLDE,3397H,1,,,
53,BOB MARLEY & THE WAILERS,LIVE! (3 LP'S 180 GRAM),30.2,TUFF,10943,1,,,
54,BOB MARLEY & THE WAILERS,NATTY DREAD (180 GRAM),11.9,TUFF,530066,1,,,
55,BOB MARLEY & THE WAILERS,SURVIVAL (180 GRAM),10.9,TUFF,27627H,1,,,
56,BOB MARLEY & THE WAILERS,THE BIRTH OF A LEGEND (2 LP'S),10,CALLA,1240,1,,,
57,BOB MARLEY & THE WAILERS,THE BIRTH OF A LEGEND (COLORED VINYL - 2 LP'S),11,CALLA,1240C,1,,,
58,BOB MARLEY & THE WAILERS,THE BIRTH OF A LEGEND (180 GRAM - 2 LP'S),12,CALLA,1240H,1,,,
59,BOB MARLEY & THE WAILERS,THE COMPLETE ISLAND RECORDINGS (180 GRAM),125,TUFF,60251,1,,,
60,BOB MARLEY & THE WAILERS (180 GRAM),RASTAMAN VIBRATION,12.5,TUFF,27620,1,,,
61,BOB MARLEY & THE WAILERS,UPRISING (180 GRAM),13.9,TUFF,27628H,1,,,
62,BOHANNON,STOP & GO,7,DAKAR,76903,1,,,
63,BOHANNON,STOP & GO (180 GRAM),7.5,DAKAR,76903H,1,,,
64,BOSTON,THIRD STAGE (AMANDA),8,MCA,6188,1,,,
65,CAN,OUT OF REACH ,8,CLEOP,3043,1,,,
66,CAN,OUT OF REACH (180 GRAM),8.5,CLEOP,3043H,1,,,
67,CAN,CAN (180 GRAM),8,CLEOP,3016,1,,,
